implementation,schedule,chunk_size,threads,points,clusters,ipc,cache_miss_rate,cycles,instructions,cache_references,cache_misses,branch_misses,cpu_utilization
sequential,static,1000,1,50000,10,0,0,,,,,,
naive,static,100,1,50000,10,0,0,,,,,,
naive,static,100,2,50000,10,0,0,,,,,,
naive,static,100,4,50000,10,0,0,,,,,,
naive,static,100,8,50000,10,0,0,,,,,,
naive,static,1000,1,50000,10,0,0,,,,,,
naive,static,1000,2,50000,10,0,0,,,,,,
naive,static,1000,4,50000,10,0,0,,,,,,
naive,static,1000,8,50000,10,0,0,,,,,,
naive,dynamic,100,1,50000,10,0,0,,,,,,
naive,dynamic,100,2,50000,10,0,0,,,,,,
naive,dynamic,100,4,50000,10,0,0,,,,,,
naive,dynamic,100,8,50000,10,0,0,,,,,,
naive,dynamic,1000,1,50000,10,0,0,,,,,,
naive,dynamic,1000,2,50000,10,0,0,,,,,,
naive,dynamic,1000,4,50000,10,0,0,,,,,,
naive,dynamic,1000,8,50000,10,0,0,,,,,,
naive,guided,100,1,50000,10,0,0,,,,,,
naive,guided,100,2,50000,10,0,0,,,,,,
naive,guided,100,4,50000,10,0,0,,,,,,
naive,guided,100,8,50000,10,0,0,,,,,,
naive,guided,1000,1,50000,10,0,0,,,,,,
naive,guided,1000,2,50000,10,0,0,,,,,,
naive,guided,1000,4,50000,10,0,0,,,,,,
naive,guided,1000,8,50000,10,0,0,,,,,,
optimized,static,100,1,50000,10,3.23854,0.0922606,,,,,,
optimized,static,100,2,50000,10,1.41796,0.00828971,,,,,,
optimized,static,100,4,50000,10,0.877648,0.0059869,,,,,,
optimized,static,100,8,50000,10,0.664091,0.00217707,,,,,,
optimized,static,1000,1,50000,10,3.23854,0.0922606,,,,,,
optimized,static,1000,2,50000,10,1.41796,0.00828971,,,,,,
optimized,static,1000,4,50000,10,0.877648,0.0059869,,,,,,
optimized,static,1000,8,50000,10,0.664091,0.00217707,,,,,,
optimized,dynamic,100,1,50000,10,0,0,,,,,,
optimized,dynamic,100,2,50000,10,0,0,,,,,,
optimized,dynamic,100,4,50000,10,0,0,,,,,,
optimized,dynamic,100,8,50000,10,0,0,,,,,,
optimized,dynamic,1000,1,50000,10,0,0,,,,,,
optimized,dynamic,1000,2,50000,10,0,0,,,,,,
optimized,dynamic,1000,4,50000,10,0,0,,,,,,
optimized,dynamic,1000,8,50000,10,0,0,,,,,,
optimized,guided,100,1,50000,10,0,0,,,,,,
optimized,guided,100,2,50000,10,0,0,,,,,,
optimized,guided,100,4,50000,10,0,0,,,,,,
optimized,guided,100,8,50000,10,0,0,,,,,,
optimized,guided,1000,1,50000,10,0,0,,,,,,
optimized,guided,1000,2,50000,10,0,0,,,,,,
optimized,guided,1000,4,50000,10,0,0,,,,,,
optimized,guided,1000,8,50000,10,0,0,,,,,,
soa,static,100,1,50000,10,3.39755,0.078616,,,,,,
soa,static,100,2,50000,10,3.3652,0.0858835,,,,,,
soa,static,100,4,50000,10,2.12167,0.0222185,,,,,,
soa,static,100,8,50000,10,1.04296,0.00668066,,,,,,
soa,static,1000,1,50000,10,3.39755,0.078616,,,,,,
soa,static,1000,2,50000,10,3.3652,0.0858835,,,,,,
soa,static,1000,4,50000,10,2.12167,0.0222185,,,,,,
soa,static,1000,8,50000,10,1.04296,0.00668066,,,,,,
soa,dynamic,100,1,50000,10,0,0,,,,,,
soa,dynamic,100,2,50000,10,0,0,,,,,,
soa,dynamic,100,4,50000,10,0,0,,,,,,
soa,dynamic,100,8,50000,10,0,0,,,,,,
soa,dynamic,1000,1,50000,10,0,0,,,,,,
soa,dynamic,1000,2,50000,10,0,0,,,,,,
soa,dynamic,1000,4,50000,10,0,0,,,,,,
soa,dynamic,1000,8,50000,10,0,0,,,,,,
soa,guided,100,1,50000,10,0,0,,,,,,
soa,guided,100,2,50000,10,0,0,,,,,,
soa,guided,100,4,50000,10,0,0,,,,,,
soa,guided,100,8,50000,10,0,0,,,,,,
soa,guided,1000,1,50000,10,0,0,,,,,,
soa,guided,1000,2,50000,10,0,0,,,,,,
soa,guided,1000,4,50000,10,0,0,,,,,,
soa,guided,1000,8,50000,10,0,0,,,,,,
sequential,static,1000,1,100000,10,0,0,,,,,,
naive,static,100,1,100000,10,0,0,,,,,,
naive,static,100,2,100000,10,0,0,,,,,,
naive,static,100,4,100000,10,0,0,,,,,,
naive,static,100,8,100000,10,0,0,,,,,,
naive,static,1000,1,100000,10,0,0,,,,,,
naive,static,1000,2,100000,10,0,0,,,,,,
naive,static,1000,4,100000,10,0,0,,,,,,
naive,static,1000,8,100000,10,0,0,,,,,,
naive,dynamic,100,1,100000,10,0,0,,,,,,
naive,dynamic,100,2,100000,10,0,0,,,,,,
naive,dynamic,100,4,100000,10,0,0,,,,,,
naive,dynamic,100,8,100000,10,0,0,,,,,,
naive,dynamic,1000,1,100000,10,0,0,,,,,,
naive,dynamic,1000,2,100000,10,0,0,,,,,,
naive,dynamic,1000,4,100000,10,0,0,,,,,,
naive,dynamic,1000,8,100000,10,0,0,,,,,,
naive,guided,100,1,100000,10,0,0,,,,,,
naive,guided,100,2,100000,10,0,0,,,,,,
naive,guided,100,4,100000,10,0,0,,,,,,
naive,guided,100,8,100000,10,0,0,,,,,,
naive,guided,1000,1,100000,10,0,0,,,,,,
naive,guided,1000,2,100000,10,0,0,,,,,,
naive,guided,1000,4,100000,10,0,0,,,,,,
naive,guided,1000,8,100000,10,0,0,,,,,,
optimized,static,100,1,100000,10,0,0,,,,,,
optimized,static,100,2,100000,10,0,0,,,,,,
optimized,static,100,4,100000,10,0,0,,,,,,
optimized,static,100,8,100000,10,0,0,,,,,,
optimized,static,1000,1,100000,10,0,0,,,,,,
optimized,static,1000,2,100000,10,0,0,,,,,,
optimized,static,1000,4,100000,10,0,0,,,,,,
optimized,static,1000,8,100000,10,0,0,,,,,,
optimized,dynamic,100,1,100000,10,0,0,,,,,,
optimized,dynamic,100,2,100000,10,0,0,,,,,,
optimized,dynamic,100,4,100000,10,0,0,,,,,,
optimized,dynamic,100,8,100000,10,0,0,,,,,,
optimized,dynamic,1000,1,100000,10,0,0,,,,,,
optimized,dynamic,1000,2,100000,10,0,0,,,,,,
optimized,dynamic,1000,4,100000,10,0,0,,,,,,
optimized,dynamic,1000,8,100000,10,0,0,,,,,,
optimized,guided,100,1,100000,10,0,0,,,,,,
optimized,guided,100,2,100000,10,0,0,,,,,,
optimized,guided,100,4,100000,10,0,0,,,,,,
optimized,guided,100,8,100000,10,0,0,,,,,,
optimized,guided,1000,1,100000,10,0,0,,,,,,
optimized,guided,1000,2,100000,10,0,0,,,,,,
optimized,guided,1000,4,100000,10,0,0,,,,,,
optimized,guided,1000,8,100000,10,0,0,,,,,,
soa,static,100,1,100000,10,0,0,,,,,,
soa,static,100,2,100000,10,0,0,,,,,,
soa,static,100,4,100000,10,0,0,,,,,,
soa,static,100,8,100000,10,0,0,,,,,,
soa,static,1000,1,100000,10,0,0,,,,,,
soa,static,1000,2,100000,10,0,0,,,,,,
soa,static,1000,4,100000,10,0,0,,,,,,
soa,static,1000,8,100000,10,0,0,,,,,,
soa,dynamic,100,1,100000,10,0,0,,,,,,
soa,dynamic,100,2,100000,10,0,0,,,,,,
soa,dynamic,100,4,100000,10,0,0,,,,,,
soa,dynamic,100,8,100000,10,0,0,,,,,,
soa,dynamic,1000,1,100000,10,0,0,,,,,,
soa,dynamic,1000,2,100000,10,0,0,,,,,,
soa,dynamic,1000,4,100000,10,0,0,,,,,,
soa,dynamic,1000,8,100000,10,0,0,,,,,,
soa,guided,100,1,100000,10,0,0,,,,,,
soa,guided,100,2,100000,10,0,0,,,,,,
soa,guided,100,4,100000,10,0,0,,,,,,
soa,guided,100,8,100000,10,0,0,,,,,,
soa,guided,1000,1,100000,10,0,0,,,,,,
soa,guided,1000,2,100000,10,0,0,,,,,,
soa,guided,1000,4,100000,10,0,0,,,,,,
soa,guided,1000,8,100000,10,0,0,,,,,,
